Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,51214979,1,"Saturday, January 10, 2009 10:58:36 UTC",37.4508,-118.9818,1.4,18.30,16,"Central California"
ak,00086312,1,"Saturday, January 10, 2009 10:38:19 UTC",54.2869,-164.6201,2.0,100.00,04,"Unimak Island region, Alaska"
nc,51214976,1,"Saturday, January 10, 2009 09:53:44 UTC",38.8063,-122.8080,1.5,2.00,20,"Northern California"
ci,10370461,1,"Saturday, January 10, 2009 09:36:22 UTC",34.8060,-116.4136,1.5,6.00,20,"Southern California"
pr,p0901008,1,"Saturday, January 10, 2009 09:25:10 UTC",18.7048,-64.3542,2.2,46.80,07,"Virgin Islands region"
nc,51214975,2,"Saturday, January 10, 2009 09:18:11 UTC",39.0322,-123.3432,3.6,4.90,110,"Northern California"
pr,p0901007,1,"Saturday, January 10, 2009 09:16:19 UTC",18.9163,-65.2788,2.9,14.60,24,"Puerto Rico region"
ak,00086309,1,"Saturday, January 10, 2009 08:07:11 UTC",63.1281,-150.6865,2.5,100.00,34,"Central Alaska"
uu,01100745,2,"Saturday, January 10, 2009 07:45:54 UTC",44.6425,-110.2590,1.8,7.20, 8,"Yellowstone National Park, Wyoming"
pr,p0901005,1,"Saturday, January 10, 2009 07:28:21 UTC",18.2127,-66.7873,1.7,15.50,24,"Puerto Rico"
ci,10370449,1,"Saturday, January 10, 2009 07:08:31 UTC",32.5408,-115.6251,1.7,8.30,20,"Baja California, Mexico"
ak,00086307,1,"Saturday, January 10, 2009 06:50:27 UTC",54.6187,-163.4778,2.9,7.50,17,"Unimak Island region, Alaska"
ci,10370445,1,"Saturday, January 10, 2009 06:42:23 UTC",35.9883,-117.2955,1.6,4.10,11,"Central California"
ak,00086306,1,"Saturday, January 10, 2009 06:39:21 UTC",64.7406,-152.5379,1.8,0.30,04,"Central Alaska"
ci,10370441,1,"Saturday, January 10, 2009 06:35:44 UTC",33.0775,-118.0143,2.4,12.70,24,"Gulf of Santa Catalina, California"
ci,10370433,M,"Saturday, January 10, 2009 06:24:25 UTC",32.4826,-115.2318,1.7,6.00,09,"Baja California, Mexico"
uu,01100623,2,"Saturday, January 10, 2009 06:23:55 UTC",39.6327,-110.4080,1.7,0.40, 8,"Utah"
nc,51214967,1,"Saturday, January 10, 2009 06:13:52 UTC",38.8102,-122.8185,2.2,2.60,36,"Northern California"
hv,00032690,0,"Saturday, January 10, 2009 06:11:15 UTC",19.2298,-155.5583,1.9,0.10,00,"Island of Hawaii, Hawaii"
ci,10370429,M,"Saturday, January 10, 2009 06:03:06 UTC",36.1606,-118.0616,2.6,5.50,33,"Central California"
ci,10370425,M,"Saturday, January 10, 2009 05:54:51 UTC",35.9696,-117.2908,1.3,6.50,14,"Central California"
uu,01100552,2,"Saturday, January 10, 2009 05:52:55 UTC",44.6568,-110.2588,1.6,3.40, 7,"Yellowstone National Park, Wyoming"
ci,10370421,M,"Saturday, January 10, 2009 05:29:58 UTC",35.9770,-117.2923,1.2,5.70,08,"Central California"
ak,00086305,1,"Saturday, January 10, 2009 05:18:37 UTC",55.6276,-159.9233,2.8,67.90,09,"Alaska Peninsula"
ci,10370417,M,"Saturday, January 10, 2009 04:52:02 UTC",34.0051,-116.3195,1.2,6.00,31,"Southern California"
ci,10370413,M,"Saturday, January 10, 2009 04:46:05 UTC",33.3065,-116.2495,1.8,9.90,65,"Southern California"
us,2009braj,Q,"Saturday, January 10, 2009 04:29:58 UTC",-21.7728,-179.5030,4.5,657.60,58,"Fiji region"
ak,00086304,1,"Saturday, January 10, 2009 04:27:09 UTC",53.7734,-164.0057,3.0,71.10,15,"Unimak Island region, Alaska"
ak,00086302,1,"Saturday, January 10, 2009 03:50:52 UTC",63.0102,-149.8495,1.8,80.70,09,"Central Alaska"
uu,01100346,2,"Saturday, January 10, 2009 03:46:59 UTC",39.4120,-111.0890,2.2,2.20,19,"Utah"
ak,00086301,1,"Saturday, January 10, 2009 03:44:32 UTC",53.5815,-165.7480,2.5,30.90,07,"Fox Islands, Aleutian Islands, Alaska"
pr,p0901003,1,"Saturday, January 10, 2009 03:42:44 UTC",18.8827,-66.1508,3.1,24.40,18,"Puerto Rico region"
ak,00086297,1,"Saturday, January 10, 2009 03:33:23 UTC",62.9219,-149.3848,2.7,74.10,44,"Central Alaska"
pr,p0901004,1,"Saturday, January 10, 2009 03:18:26 UTC",18.7268,-64.3823,2.9,46.00,08,"Virgin Islands region"
uw,01100308,1,"Saturday, January 10, 2009 03:08:18 UTC",47.4921,-121.8779,1.7,10.10,31,"Puget Sound region, Washington"
ci,10370397,M,"Saturday, January 10, 2009 03:07:12 UTC",32.4781,-115.2455,1.6,6.00,09,"Baja California, Mexico"
ak,00086295,1,"Saturday, January 10, 2009 02:54:23 UTC",59.8693,-151.9987,2.0,0.10,05,"Kenai Peninsula, Alaska"
ak,00086296,1,"Saturday, January 10, 2009 02:50:15 UTC",65.0223,-148.9934,1.4,21.10,04,"northern Alaska"
uu,01100230,2,"Saturday, January 10, 2009 02:30:19 UTC",44.6548,-110.2647,1.5,2.40, 7,"Yellowstone National Park, Wyoming"
nc,51214961,1,"Saturday, January 10, 2009 02:22:28 UTC",35.6717,-121.1047,2.3,6.90,73,"Central California"
us,2009brag,Q,"Saturday, January 10, 2009 02:16:14 UTC",-0.3033,132.4016,4.6,35.00,29,"near the north coast of Papua, Indonesia"
ci,10370389,M,"Saturday, January 10, 2009 02:06:47 UTC",34.0375,-116.7491,1.6,13.50,60,"Southern California"
ci,10370385,M,"Saturday, January 10, 2009 01:52:11 UTC",35.9703,-117.3251,1.6,1.40,09,"Central California"
ak,00086294,1,"Saturday, January 10, 2009 01:45:35 UTC",60.9590,-152.2817,1.9,95.20,04,"Southern Alaska"
ak,00086292,1,"Saturday, January 10, 2009 01:26:21 UTC",63.5503,-147.2386,1.7,4.70,16,"Central Alaska"
pr,p0901002,1,"Saturday, January 10, 2009 01:22:56 UTC",18.5743,-66.9995,3.0,73.00,06,"Puerto Rico region"
ci,10370381,M,"Saturday, January 10, 2009 01:22:21 UTC",35.9636,-117.3235,1.4,1.10,10,"Central California"
uu,01100116,2,"Saturday, January 10, 2009 01:16:13 UTC",44.6563,-110.2573,1.9,4.80, 9,"Yellowstone National Park, Wyoming"
uu,01100110,2,"Saturday, January 10, 2009 01:10:51 UTC",44.6563,-110.2548,2.1,0.00, 8,"Yellowstone National Park, Wyoming"
uu,01100106,2,"Saturday, January 10, 2009 01:06:58 UTC",44.6383,-110.2530,1.6,9.60, 6,"Yellowstone National Park, Wyoming"
ci,10370377,M,"Saturday, January 10, 2009 00:42:09 UTC",32.6220,-115.6280,1.8,6.00,16,"Baja California, Mexico"
ak,00086288,1,"Saturday, January 10, 2009 00:30:30 UTC",61.3494,-146.6976,2.8,21.30,37,"Southern Alaska"
ak,00086287,1,"Saturday, January 10, 2009 00:15:15 UTC",64.6271,-150.2257,1.9,14.40,06,"Central Alaska"
ak,00086286,1,"Saturday, January 10, 2009 00:11:55 UTC",64.9904,-147.3530,1.6,1.50,10,"Central Alaska"
ak,00086283,1,"Saturday, January 10, 2009 00:02:57 UTC",61.0830,-151.5299,1.7,60.00,09,"Southern Alaska"
pr,p0901001,1,"Saturday, January 10, 2009 00:00:56 UTC",18.0250,-65.7582,1.4,15.40,06,"Puerto Rico region"
ak,00086282,1,"Friday, January  9, 2009 23:55:28 UTC",63.5481,-149.5038,2.4,96.40,08,"Central Alaska"
ak,00086280,1,"Friday, January  9, 2009 23:41:19 UTC",54.6459,-164.2441,2.6,100.00,16,"Unimak Island region, Alaska"
ak,00086277,1,"Friday, January  9, 2009 23:36:59 UTC",54.6476,-163.5148,3.1,0.00,13,"Unimak Island region, Alaska"
ak,00086275,1,"Friday, January  9, 2009 23:14:37 UTC",62.3123,-149.7419,1.7,71.10,08,"Central Alaska"
ak,00086274,1,"Friday, January  9, 2009 23:08:54 UTC",54.6032,-163.4917,2.9,0.00,18,"Unimak Island region, Alaska"
uu,01092308,2,"Friday, January  9, 2009 23:08:19 UTC",39.6887,-110.4727,1.0,2.20, 8,"Utah"
ak,00086272,1,"Friday, January  9, 2009 23:01:43 UTC",61.0912,-150.4902,2.3,50.20,17,"Southern Alaska"
ci,10370365,1,"Friday, January  9, 2009 22:59:18 UTC",33.5425,-116.0758,1.4,18.00,11,"Southern California"
us,2009bqck,Q,"Friday, January  9, 2009 22:43:31 UTC",-23.1242,-70.6653,5.0,18.40,80,"offshore Antofagasta, Chile"
ak,00086270,1,"Friday, January  9, 2009 22:43:08 UTC",53.9847,-164.2384,2.6,74.00,10,"Unimak Island region, Alaska"
nc,51214959,1,"Friday, January  9, 2009 22:20:33 UTC",38.8390,-122.8270,1.8,2.00,25,"Northern California"
nc,51214958,1,"Friday, January  9, 2009 21:58:04 UTC",37.5318,-118.8198,1.4,7.00,27,"Central California"
ak,00086268,1,"Friday, January  9, 2009 21:49:43 UTC",59.8250,-152.6291,2.0,27.50,07,"Southern Alaska"
uu,01092140,2,"Friday, January  9, 2009 21:40:04 UTC",44.6548,-110.2460,1.5,2.20, 6,"Yellowstone National Park, Wyoming"
uu,01092142,2,"Friday, January  9, 2009 21:39:57 UTC",44.6602,-110.2828,1.0,5.60, 6,"Yellowstone National Park, Wyoming"
uu,01092138,2,"Friday, January  9, 2009 21:37:32 UTC",44.6567,-110.2717,1.1,0.90, 6,"Yellowstone National Park, Wyoming"
uu,01092134,2,"Friday, January  9, 2009 21:34:50 UTC",44.6570,-110.2700,1.5,2.20, 6,"Yellowstone National Park, Wyoming"
nc,51214956,1,"Friday, January  9, 2009 21:25:23 UTC",36.7097,-121.3467,1.9,3.90,25,"Central California"
pr,p0900913,1,"Friday, January  9, 2009 21:19:55 UTC",17.8670,-66.8147,1.8,5.00,10,"Puerto Rico region"
ak,00086266,1,"Friday, January  9, 2009 21:12:37 UTC",54.6854,-163.5173,1.6,18.10,05,"Unimak Island region, Alaska"
nc,51214954,1,"Friday, January  9, 2009 21:06:20 UTC",38.7723,-123.0025,1.9,2.60,16,"Northern California"
uu,01092108,2,"Friday, January  9, 2009 21:04:46 UTC",44.6772,-110.2543,1.0,2.20, 6,"Yellowstone National Park, Wyoming"
uw,01092054,1,"Friday, January  9, 2009 20:54:26 UTC",47.4036,-122.0551,1.2,21.80,10,"Seattle-Tacoma urban area, Washington"
pr,p0900912,1,"Friday, January  9, 2009 20:54:06 UTC",18.4492,-67.4017,2.8,5.00,22,"Mona Passage, Puerto Rico"
uu,01092052,2,"Friday, January  9, 2009 20:49:37 UTC",39.4173,-111.0908,1.7,3.90,12,"Utah"
nc,51214953,1,"Friday, January  9, 2009 20:36:49 UTC",37.5220,-118.6167,1.0,13.60,10,"Central California"
uu,01092024,2,"Friday, January  9, 2009 20:23:21 UTC",44.6675,-110.2528,1.7,5.60, 7,"Yellowstone National Park, Wyoming"
uu,01091947,2,"Friday, January  9, 2009 19:47:41 UTC",44.6593,-110.2418,1.7,5.50, 9,"Yellowstone National Park, Wyoming"
nm,hnw0109a,A,"Friday, January  9, 2009 19:26:26 UTC",37.3408,-90.0025,2.5,8.30,15,"southeastern Missouri"
uu,01091908,2,"Friday, January  9, 2009 19:08:27 UTC",44.6912,-110.2528,1.4,2.20,10,"Yellowstone National Park, Wyoming"
nc,51214951,1,"Friday, January  9, 2009 19:02:38 UTC",37.2998,-118.6912,1.0,1.70,10,"Central California"
uu,00002866,2,"Friday, January  9, 2009 18:57:14 UTC",44.6647,-110.2742,1.9,2.00,10,"Yellowstone National Park, Wyoming"
uu,01091851,2,"Friday, January  9, 2009 18:51:31 UTC",44.6650,-110.2613,1.8,4.40,10,"Yellowstone National Park, Wyoming"
uu,01091835,2,"Friday, January  9, 2009 18:35:22 UTC",39.6285,-110.4242,1.4,2.20, 7,"Utah"
nc,51214950,1,"Friday, January  9, 2009 18:26:04 UTC",37.6195,-118.8747,2.7,5.20,66,"Long Valley area, California"
nc,51214949,1,"Friday, January  9, 2009 18:24:51 UTC",37.6203,-118.8743,2.0,5.50,33,"Long Valley area, California"
nc,51214947,1,"Friday, January  9, 2009 18:19:08 UTC",38.8247,-122.7913,2.2,1.10,26,"Northern California"
uu,00002864,3,"Friday, January  9, 2009 18:17:31 UTC",44.6775,-110.2537,3.3,3.10,29,"Yellowstone National Park, Wyoming"
us,2009bqbq,Q,"Friday, January  9, 2009 18:14:22 UTC",-23.6216,-179.9262,4.8,521.30,61,"south of the Fiji Islands"
uu,01091810,2,"Friday, January  9, 2009 18:10:39 UTC",44.6693,-110.2653,1.4,2.40, 5,"Yellowstone National Park, Wyoming"
uu,01091808,2,"Friday, January  9, 2009 18:08:13 UTC",44.6690,-110.2540,2.4,4.20,18,"Yellowstone National Park, Wyoming"
uu,01091807,2,"Friday, January  9, 2009 18:06:02 UTC",44.6690,-110.2562,1.1,2.20, 5,"Yellowstone National Park, Wyoming"
uu,01091802,2,"Friday, January  9, 2009 18:02:02 UTC",39.6267,-110.4198,1.7,2.20, 8,"Utah"
ak,00086229,1,"Friday, January  9, 2009 17:59:51 UTC",62.1905,-150.4122,2.0,51.20,17,"Central Alaska"
ak,00086228,1,"Friday, January  9, 2009 17:54:40 UTC",62.1582,-145.5536,1.1,23.30,05,"Central Alaska"
us,2009bqbj,R,"Friday, January  9, 2009 17:43:51 UTC",-1.0840,127.0556,4.6,40.70,25,"Kepulauan Obi, Indonesia"
ak,00086227,1,"Friday, January  9, 2009 17:06:41 UTC",54.6057,-163.6230,1.7,25.10,04,"Unimak Island region, Alaska"
ci,10370329,1,"Friday, January  9, 2009 16:44:05 UTC",35.9653,-117.3366,1.9,2.80,21,"Central California"
uu,01091633,2,"Friday, January  9, 2009 16:33:36 UTC",44.7350,-111.1550,1.1,7.30,18,"western Montana"
ci,10370325,1,"Friday, January  9, 2009 16:29:13 UTC",33.9235,-117.3920,1.9,0.00,11,"Greater Los Angeles area, California"
ak,00086226,1,"Friday, January  9, 2009 16:28:50 UTC",63.4807,-151.0076,2.2,0.00,06,"Central Alaska"
pr,p0900911,1,"Friday, January  9, 2009 15:55:32 UTC",19.2397,-67.2597,3.0,10.00,23,"Puerto Rico region"
ak,00086224,1,"Friday, January  9, 2009 15:55:14 UTC",61.9150,-149.8025,2.0,35.00,09,"Southern Alaska"
hv,00032683,0,"Friday, January  9, 2009 15:44:37 UTC",19.7838,-155.5835,2.8,14.90,00,"Island of Hawaii, Hawaii"
nc,51214941,1,"Friday, January  9, 2009 15:32:22 UTC",38.8297,-122.8275,1.4,3.60,10,"Northern California"
uu,01091441,2,"Friday, January  9, 2009 14:41:10 UTC",44.6648,-110.2538,2.2,4.30,13,"Yellowstone National Park, Wyoming"
uu,01091437,2,"Friday, January  9, 2009 14:37:12 UTC",44.6770,-110.2378,1.0,2.20, 5,"Yellowstone National Park, Wyoming"
us,2009bqa7,Q,"Friday, January  9, 2009 14:35:22 UTC",-0.7152,133.7798,5.2,35.00,45,"near the north coast of Papua, Indonesia"
ak,00086219,1,"Friday, January  9, 2009 14:14:18 UTC",63.0838,-151.4740,2.2,0.00,13,"Central Alaska"
ci,10370293,O,"Friday, January  9, 2009 13:44:59 UTC",32.4754,-115.2011,2.5,10.00,24,"Baja California, Mexico"
ak,00086217,1,"Friday, January  9, 2009 13:32:38 UTC",62.2928,-141.0656,2.9,11.70,19,"Central Alaska"
ak,00086215,1,"Friday, January  9, 2009 13:23:00 UTC",61.6917,-149.4728,2.0,30.00,17,"Southern Alaska"
ci,10370273,O,"Friday, January  9, 2009 12:55:06 UTC",32.5386,-115.2521,3.0,10.00,24,"Baja California, Mexico"
nc,51214936,1,"Friday, January  9, 2009 12:49:17 UTC",38.8368,-122.8250,2.1,2.90,28,"Northern California"
ci,12709759,M,"Friday, January  9, 2009 12:44:58 UTC",32.5578,-115.2460,3.2,10.00,20,"Baja California, Mexico"
ci,10370265,O,"Friday, January  9, 2009 12:43:58 UTC",32.5445,-115.2556,3.3,10.00,28,"Baja California, Mexico"
ci,10370261,O,"Friday, January  9, 2009 12:40:06 UTC",32.5068,-115.2085,2.9,10.00,25,"Baja California, Mexico"
ci,10370257,1,"Friday, January  9, 2009 12:29:30 UTC",32.3013,-116.4486,2.2,1.00,27,"Baja California, Mexico"
ci,10370253,1,"Friday, January  9, 2009 12:21:57 UTC",32.6801,-116.0621,2.0,6.30,49,"Southern California"
ci,10370245,1,"Friday, January  9, 2009 12:15:31 UTC",36.3653,-117.5953,1.8,24.80,08,"Central California"
ci,10370237,1,"Friday, January  9, 2009 11:52:08 UTC",32.6911,-116.0530,1.7,5.80,37,"Southern California"
us,2009bqay,7,"Friday, January  9, 2009 11:34:58 UTC",51.7953,-176.0509,4.9,55.80,100,"Andreanof Islands, Aleutian Islands, Alaska"
ak,00086205,1,"Friday, January  9, 2009 11:30:48 UTC",61.3490,-146.7734,2.3,21.50,06,"Southern Alaska"
nn,00271392,2,"Friday, January  9, 2009 11:28:04 UTC",36.7360,-116.1440,2.1,4.70,51,"Nevada"
uu,01091122,2,"Friday, January  9, 2009 11:22:08 UTC",38.9858,-111.3962,1.4,13.80, 9,"Utah"
ci,10370217,1,"Friday, January  9, 2009 11:14:54 UTC",33.9238,-117.1661,1.4,14.40,61,"Greater Los Angeles area, California"
nc,51214933,1,"Friday, January  9, 2009 11:08:05 UTC",37.1567,-121.8295,1.2,4.80,11,"Northern California"
uu,01091104,2,"Friday, January  9, 2009 11:04:16 UTC",38.9893,-111.3913,1.7,8.60,12,"Utah"
pr,p0900909,1,"Friday, January  9, 2009 10:54:51 UTC",18.7598,-64.9262,3.0,10.80,16,"Virgin Islands region"
nc,51214932,1,"Friday, January  9, 2009 10:45:49 UTC",37.5913,-118.4577,1.2,9.50, 9,"Central California"
nc,51214930,1,"Friday, January  9, 2009 10:17:28 UTC",39.4947,-121.9790,2.2,5.90,21,"Northern California"
nc,51214929,1,"Friday, January  9, 2009 10:09:23 UTC",35.7150,-121.0193,1.1,8.90,13,"Central California"
ci,10370209,M,"Friday, January  9, 2009 09:49:45 UTC",32.5468,-115.5880,1.6,7.30,14,"Baja California, Mexico"
ci,10370205,M,"Friday, January  9, 2009 09:21:53 UTC",35.9781,-117.3228,1.1,2.90,11,"Central California"
nc,51214928,1,"Friday, January  9, 2009 09:18:57 UTC",37.1565,-121.8273,1.2,4.40,14,"Northern California"
us,2009bqav,R,"Friday, January  9, 2009 08:45:53 UTC",-4.2838,152.1361,4.9,192.90,98,"New Britain region, Papua New Guinea"
nc,51214927,1,"Friday, January  9, 2009 08:42:28 UTC",35.6142,-120.7302,1.4,5.10, 8,"Central California"
pr,p0900910,1,"Friday, January  9, 2009 08:00:48 UTC",18.8847,-64.5627,2.1,8.10,06,"Virgin Islands region"
nc,51214925,1,"Friday, January  9, 2009 07:33:49 UTC",36.7550,-121.2845,1.4,3.90, 8,"Central California"
pr,p0900908,1,"Friday, January  9, 2009 07:29:30 UTC",18.8273,-64.5723,3.3,6.00,25,"Virgin Islands region"
us,2009bqat,R,"Friday, January  9, 2009 07:28:45 UTC",16.0640,119.7658,5.1,61.30,75,"Luzon, Philippines"
ak,00086197,1,"Friday, January  9, 2009 07:27:59 UTC",62.1647,-145.5067,1.3,32.40,05,"Central Alaska"
ak,00086194,1,"Friday, January  9, 2009 07:21:44 UTC",63.0133,-150.3055,2.4,64.10,29,"Central Alaska"
pr,p0900906,1,"Friday, January  9, 2009 07:08:30 UTC",18.3095,-67.1390,2.5,2.40,06,"Puerto Rico"
nc,51214924,1,"Friday, January  9, 2009 07:00:13 UTC",38.8253,-122.7535,1.8,0.60,28,"Northern California"
us,2009bqaq,R,"Friday, January  9, 2009 06:54:47 UTC",-2.2307,99.7736,5.1,35.00,56,"Kepulauan Mentawai region, Indonesia"
ci,10370201,M,"Friday, January  9, 2009 06:45:29 UTC",34.0165,-118.6943,1.8,15.10,33,"Santa Monica Bay, California"
us,2009bqan,R,"Friday, January  9, 2009 06:28:35 UTC",-19.2872,-66.5948,4.7,243.30,105,"Oruro, Bolivia"
nc,51214922,1,"Friday, January  9, 2009 06:26:28 UTC",35.9857,-120.5495,1.7,2.90,19,"Central California"
nc,51214919,1,"Friday, January  9, 2009 06:20:37 UTC",37.3720,-118.3820,1.6,6.40,13,"Central California"
ak,00086193,1,"Friday, January  9, 2009 06:16:35 UTC",61.8581,-142.7818,2.5,0.90,13,"Southern Alaska"
ci,10370193,O,"Friday, January  9, 2009 05:59:08 UTC",34.0986,-117.3123,1.2,6.70,17,"Greater Los Angeles area, California"
nc,51214916,1,"Friday, January  9, 2009 05:50:37 UTC",36.5405,-121.0823,1.0,8.30, 8,"Central California"
nc,51214915,1,"Friday, January  9, 2009 05:31:38 UTC",38.8465,-122.8335,1.0,1.10,10,"Northern California"
ak,00086189,1,"Friday, January  9, 2009 05:22:39 UTC",53.5697,-163.6023,3.0,33.60,08,"Unimak Island region, Alaska"
ci,10370189,M,"Friday, January  9, 2009 05:06:54 UTC",34.0970,-117.3105,1.6,14.70,73,"Greater Los Angeles area, California"
ci,10370185,M,"Friday, January  9, 2009 04:58:58 UTC",34.1081,-117.3133,1.7,15.50,82,"Greater Los Angeles area, California"
ci,10370181,M,"Friday, January  9, 2009 04:50:07 UTC",35.9621,-117.3340,2.3,2.00,34,"Central California"
ci,10370177,O,"Friday, January  9, 2009 04:47:40 UTC",34.0976,-117.3056,3.3,15.10,133,"Greater Los Angeles area, California"
ci,10370169,M,"Friday, January  9, 2009 04:43:04 UTC",34.2951,-117.0725,1.6,5.50,76,"Southern California"
ci,10370165,M,"Friday, January  9, 2009 04:28:52 UTC",33.2035,-115.5776,1.6,2.20,19,"Southern California"
ci,10370161,M,"Friday, January  9, 2009 04:27:03 UTC",34.0980,-117.3131,1.1,15.70,19,"Greater Los Angeles area, California"
pr,p0900907,1,"Friday, January  9, 2009 04:26:39 UTC",18.7660,-65.2090,2.6,2.70,06,"Puerto Rico region"
ci,10370157,M,"Friday, January  9, 2009 04:21:47 UTC",34.0970,-117.3150,1.7,15.30,57,"Greater Los Angeles area, California"
ci,10370153,M,"Friday, January  9, 2009 04:16:20 UTC",34.0928,-117.3138,1.3,15.80,22,"Greater Los Angeles area, California"
pr,p0900905,1,"Friday, January  9, 2009 04:12:36 UTC",18.5378,-66.9287,2.9,13.10,21,"Puerto Rico region"
ci,10106162,M,"Friday, January  9, 2009 04:06:59 UTC",34.0926,-117.3185,1.3,14.60,46,"Greater Los Angeles area, California"
ci,10370145,O,"Friday, January  9, 2009 04:06:12 UTC",34.1080,-117.3090,1.7,14.40,83,"Greater Los Angeles area, California"
ci,10370141,S,"Friday, January  9, 2009 03:49:46 UTC",34.1073,-117.3040,4.5,14.10,132,"Greater Los Angeles area, California"
us,2009bqal,7,"Friday, January  9, 2009 03:44:38 UTC",10.4366,56.9920,5.7,10.00,111,"Carlsberg Ridge"
nc,51214911,1,"Friday, January  9, 2009 03:41:38 UTC",38.8180,-122.7915,1.0,1.90,13,"Northern California"
uu,01090339,2,"Friday, January  9, 2009 03:39:02 UTC",39.4082,-111.0900,1.5,4.30,12,"Utah"
uu,01090317,2,"Friday, January  9, 2009 03:17:48 UTC",39.4068,-111.0888,1.7,6.10,14,"Utah"
ci,10370125,1,"Friday, January  9, 2009 03:15:21 UTC",35.9716,-117.3181,1.4,3.50,11,"Central California"
ci,10370121,1,"Friday, January  9, 2009 03:13:36 UTC",33.9830,-116.6723,1.7,16.10,41,"Southern California"
ak,00086187,1,"Friday, January  9, 2009 03:04:05 UTC",65.3332,-152.0336,2.6,8.20,13,"northern Alaska"
nn,00271378,1,"Friday, January  9, 2009 02:50:34 UTC",36.5230,-114.6170,1.6,12.00,10,"Nevada"
uu,01090241,2,"Friday, January  9, 2009 02:41:27 UTC",39.4108,-111.0940,1.8,6.80,17,"Utah"
ak,00086184,1,"Friday, January  9, 2009 02:32:06 UTC",59.9651,-152.7983,2.3,99.90,18,"Southern Alaska"
ci,10370117,1,"Friday, January  9, 2009 02:07:03 UTC",33.7388,-116.7525,1.0,17.90,34,"Southern California"
ak,00086182,1,"Friday, January  9, 2009 01:58:34 UTC",61.5521,-146.3347,1.7,29.50,12,"Southern Alaska"
nc,51214907,1,"Friday, January  9, 2009 01:45:18 UTC",36.0010,-119.8390,2.9,12.50,96,"Central California"
nn,00271368,2,"Friday, January  9, 2009 01:41:14 UTC",36.7360,-116.1440,1.6,4.70,45,"Nevada"
ak,00086180,1,"Friday, January  9, 2009 01:13:33 UTC",63.4846,-150.8996,1.1,0.00,05,"Central Alaska"
pr,p0900902,1,"Friday, January  9, 2009 01:12:08 UTC",19.8353,-65.9873,3.3,5.40,06,"Puerto Rico region"
pr,p0900903,1,"Friday, January  9, 2009 01:10:53 UTC",17.8805,-66.8208,2.1,3.40,17,"Puerto Rico region"
nc,51214906,1,"Friday, January  9, 2009 00:50:46 UTC",35.6692,-121.1003,1.4,13.40, 8,"Central California"
nc,51214905,1,"Friday, January  9, 2009 00:48:12 UTC",38.8407,-122.8282,1.0,1.60,10,"Northern California"
hv,00032676,0,"Friday, January  9, 2009 00:43:48 UTC",19.4098,-155.2695,2.0,0.00,00,"Island of Hawaii, Hawaii"
ak,00086178,1,"Friday, January  9, 2009 00:43:20 UTC",63.6307,-150.8249,2.5,17.40,20,"Central Alaska"
ci,10370097,1,"Friday, January  9, 2009 00:37:45 UTC",33.9785,-116.9405,1.4,5.30,22,"Southern California"
ak,00086176,1,"Friday, January  9, 2009 00:37:44 UTC",54.5865,-163.4617,3.1,0.30,16,"Unimak Island region, Alaska"
ci,10370093,O,"Friday, January  9, 2009 00:32:26 UTC",33.9500,-116.7153,1.0,6.90,32,"Southern California"
pr,p0900901,1,"Friday, January  9, 2009 00:24:21 UTC",18.8112,-64.9048,2.9,21.10,14,"Virgin Islands region"
nc,51214904,1,"Thursday, January  8, 2009 23:46:38 UTC",36.2487,-120.3572,1.4,11.70,11,"Central California"
ak,00086174,1,"Thursday, January  8, 2009 23:45:06 UTC",61.8129,-151.1542,1.7,78.90,12,"Southern Alaska"
ci,10370089,M,"Thursday, January  8, 2009 23:43:16 UTC",35.0486,-118.3515,1.6,0.00,11,"Southern California"
ak,00086172,1,"Thursday, January  8, 2009 23:31:57 UTC",60.0135,-140.6681,1.8,6.60,07,"Southern Yukon Territory, Canada"
ci,10370085,M,"Thursday, January  8, 2009 23:26:38 UTC",33.9578,-116.7325,1.2,18.70,38,"Southern California"
ci,10370081,M,"Thursday, January  8, 2009 23:02:35 UTC",34.9576,-116.6340,1.3,3.00,14,"Southern California"
pr,p0900813,1,"Thursday, January  8, 2009 22:59:31 UTC",19.7355,-67.9077,3.4,6.60,09,"Dominican Republic region"
ci,10370077,O,"Thursday, January  8, 2009 22:51:44 UTC",35.7431,-117.6695,1.0,8.80,17,"Southern California"
nc,51214902,1,"Thursday, January  8, 2009 22:49:11 UTC",38.7858,-122.7367,1.2,2.10,18,"Northern California"
nc,51214901,1,"Thursday, January  8, 2009 22:42:56 UTC",36.7542,-121.2860,1.6,3.90,15,"Central California"
nc,51214900,1,"Thursday, January  8, 2009 22:26:50 UTC",38.8077,-122.8090,1.0,2.00,17,"Northern California"
ak,00086168,1,"Thursday, January  8, 2009 22:21:56 UTC",53.4612,-165.8094,2.9,89.90,13,"Fox Islands, Aleutian Islands, Alaska"
us,2009bpbu,Q,"Thursday, January  8, 2009 21:47:06 UTC",-4.8497,153.0434,5.1,78.10,48,"New Ireland region, Papua New Guinea"
ak,00086166,1,"Thursday, January  8, 2009 21:46:07 UTC",54.5668,-163.4895,2.7,8.90,06,"Unimak Island region, Alaska"
ak,00086164,1,"Thursday, January  8, 2009 21:28:11 UTC",63.4330,-147.3270,1.3,70.20,06,"Central Alaska"
