Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,10370677,1,"Sunday, January 11, 2009 19:25:15 UTC",32.5461,-115.1975,1.7,24.00,12,"Baja California, Mexico"
ak,00086451,1,"Sunday, January 11, 2009 19:16:12 UTC",62.3389,-151.1092,1.7,71.00,08,"Central Alaska"
ak,00086448,1,"Sunday, January 11, 2009 19:12:48 UTC",62.3501,-151.1102,2.2,83.60,27,"Central Alaska"
nc,51215071,1,"Sunday, January 11, 2009 19:09:26 UTC",36.0230,-120.9297,1.1,10.50,16,"Central California"
ak,00086444,1,"Sunday, January 11, 2009 18:54:50 UTC",62.1092,-149.4993,2.2,28.80,27,"Central Alaska"
ak,00086441,1,"Sunday, January 11, 2009 18:43:27 UTC",54.6008,-163.5596,1.7,4.90,05,"Unimak Island region, Alaska"
us,2009bsbb,7,"Sunday, January 11, 2009 18:29:05 UTC",-26.7458,-175.9830,5.4,10.80,37,"south of Tonga"
ci,10370661,1,"Sunday, January 11, 2009 18:24:31 UTC",33.6495,-116.7301,1.2,14.00,31,"Southern California"
hv,00032717,0,"Sunday, January 11, 2009 18:15:42 UTC",19.3628,-155.1297,2.0,41.00,00,"Island of Hawaii, Hawaii"
us,2009bsba,7,"Sunday, January 11, 2009 18:13:06 UTC",-0.5816,132.9689,4.9,83.10,23,"near the north coast of Papua, Indonesia"
nc,51215067,1,"Sunday, January 11, 2009 17:57:10 UTC",38.8427,-122.8303,1.5,1.30,11,"Northern California"
nc,51215064,1,"Sunday, January 11, 2009 17:46:02 UTC",38.8400,-122.8303,2.1,1.60,17,"Northern California"
ak,00086439,1,"Sunday, January 11, 2009 17:37:49 UTC",63.3322,-145.0995,1.6,5.90,08,"Central Alaska"
nc,51215061,1,"Sunday, January 11, 2009 17:25:58 UTC",38.8200,-122.7848,2.0,1.50,36,"Northern California"
ak,00086437,1,"Sunday, January 11, 2009 17:16:22 UTC",59.8551,-141.5489,1.9,19.90,06,"Southeastern Alaska"
nc,51215060,1,"Sunday, January 11, 2009 16:59:44 UTC",37.7910,-122.2117,2.1,9.00,68,"San Francisco Bay area, California"
nc,51215057,1,"Sunday, January 11, 2009 16:37:59 UTC",39.9660,-120.8807,2.8,11.00,67,"Northern California"
